acousticness;danceability;duration_ms;energy;explicit;liveness;loudness;mode;popularity;tempo;valence;year
0.0769;0.671;165820;0.529;1;0.0856;-7.226;1;87;161.989;0.203;2018
0.349;0.511;239836;0.566;1;0.34;-7.23;0;88;83.903;0.218;2018
0.544;0.515;209274;0.479;1;0.191;-7.458;1;84;88.964;0.284;2018
0.369;0.614;234347;0.68;0;0.115;-4.58;1;80;149.959;0.707;2018
0.483;0.716;165907;0.512;0;0.0928;-6.257;1;91;104.957;0.326;2018
0.934;0.351;200186;0.296;0;0.095;-10.109;0;88;115.284;0.12;2018
0.657;0.631;205453;0.591;0;0.11;-5.785;1;79;97.074;0.489;2018
0.258;0.74;166606;0.613;1;0.123;-4.88;1;86;75.023;0.473;2018
0.0852;0.897;145543;0.662;1;0.534;-6.903;0;82;112.511;0.389;2018
0.00513;0.834;312820;0.73;1;0.124;-3.714;1;86;155.008;0.446;2018
0.676;0.551;193200;0.402;0;0.0928;-7.431;1;79;103.313;0.382;2018
0.186;0.736;169999;0.67;1;0.114;-6.702;1;81;130.032;0.845;2018
0.556;0.76;158040;0.479;0;0.0703;-5.574;1;84;89.911;0.913;2018
0.0414;0.665;175755;0.651;1;0.0896;-5.515;1;81;163.935;0.237;2018
0.556;0.921;135090;0.537;1;0.102;-5.723;0;85;128.009;0.711;2018
0.124;0.585;218147;0.52;1;0.131;-6.136;0;85;159.801;0.129;2018
0.145;0.759;268434;0.73;1;0.11;-7.985;0;81;115.007;0.74;2018
0.368;0.901;203267;0.464;1;0.238;-9.789;0;81;109.004;0.638;2018
0.661;0.592;110886;0.457;1;0.146;-6.081;0;84;146.04;0.225;2018
0.0175;0.669;196400;0.574;1;0.146;-6.442;0;83;120.013;0.273;2018
0.883;0.669;121887;0.308;0;0.0984;-10.068;1;84;64.934;0.52;2018
0.259;0.889;180522;0.496;1;0.252;-6.365;0;81;86.003;0.544;2018
0.123;0.785;159382;0.431;0;0.0887;-8.756;0;85;127.085;0.236;2018
0.115;0.594;191840;0.798;1;0.143;-5.244;1;81;142.049;0.381;2018
0.0355;0.963;142273;0.346;1;0.108;-9.309;0;78;119.957;0.562;2018
0.779;0.699;160184;0.304;1;0.137;-11.192;1;83;119.705;0.271;2018
0.331;0.68;231267;0.578;1;0.135;-5.804;1;83;145.038;0.341;2018
0.224;0.764;158421;0.394;1;0.119;-8.559;1;80;92.011;0.471;2018
0.72;0.498;179080;0.235;0;0.144;-16.541;0;84;118.917;0.0895;2018
